40.0	3.0	10.0
48.0	7.0	12.0
56.0	19.0	42.0
64.0	7.0	16.0
72.0	7.0	18.0
80.0	11.0	20.0
88.0	5.0	22.0
96.0	11.0	24.0
104.0	7.0	26.0
112.0	41.0	84.0
120.0	103.0	90.0
128.0	15.0	32.0
136.0	9.0	34.0
144.0	17.0	108.0
152.0	9.0	38.0
160.0	21.0	120.0
168.0	101.0	84.0
176.0	21.0	44.0
184.0	57.0	46.0
192.0	23.0	48.0
200.0	13.0	50.0
208.0	27.0	52.0
216.0	11.0	36.0
224.0	27.0	56.0
232.0	85.0	58.0
240.0	29.0	60.0
248.0	33.0	62.0
256.0	15.0	32.0
264.0	17.0	198.0
272.0	33.0	68.0
280.0	103.0	210.0
288.0	19.0	36.0
296.0	19.0	74.0
304.0	37.0	76.0
312.0	19.0	78.0
320.0	21.0	120.0
328.0	21.0	82.0
336.0	115.0	84.0
344.0	193.0	86.0
352.0	21.0	44.0
360.0	133.0	90.0
368.0	81.0	46.0
376.0	45.0	94.0
384.0	23.0	48.0
392.0	243.0	98.0
400.0	151.0	40.0
408.0	155.0	102.0
416.0	25.0	52.0
424.0	51.0	106.0
432.0	47.0	72.0
440.0	91.0	110.0
448.0	29.0	168.0
456.0	29.0	114.0
464.0	247.0	58.0
472.0	29.0	118.0
480.0	89.0	180.0
488.0	91.0	122.0
496.0	157.0	62.0
504.0	55.0	84.0
512.0	31.0	64.0
528.0	17.0	66.0
544.0	35.0	68.0
560.0	227.0	420.0
576.0	65.0	96.0
592.0	19.0	74.0
608.0	37.0	76.0
624.0	41.0	234.0
640.0	39.0	80.0
656.0	185.0	82.0
672.0	43.0	252.0
688.0	21.0	86.0
704.0	155.0	44.0
720.0	79.0	120.0
736.0	139.0	92.0
752.0	23.0	94.0
768.0	217.0	48.0
784.0	25.0	98.0
800.0	17.0	80.0
816.0	127.0	102.0
832.0	25.0	52.0
848.0	239.0	106.0
864.0	17.0	48.0
880.0	137.0	110.0
896.0	215.0	112.0
912.0	29.0	114.0
928.0	15.0	58.0
944.0	147.0	118.0
960.0	29.0	60.0
976.0	59.0	122.0
992.0	65.0	124.0
1008.0	55.0	84.0
1024.0	31.0	64.0
1056.0	17.0	66.0
1088.0	171.0	204.0
1120.0	67.0	140.0
1152.0	35.0	72.0
1184.0	19.0	74.0
1216.0	39.0	76.0
1248.0	19.0	78.0
1280.0	199.0	240.0
1312.0	21.0	82.0
1344.0	211.0	252.0
1376.0	21.0	86.0
1408.0	43.0	88.0
1440.0	149.0	60.0
1472.0	45.0	92.0
1504.0	49.0	846.0
1536.0	71.0	48.0
1568.0	13.0	28.0
1600.0	17.0	80.0
1632.0	25.0	102.0
1664.0	183.0	104.0
1696.0	55.0	954.0
1728.0	127.0	96.0
1760.0	27.0	110.0
1792.0	29.0	112.0
1824.0	29.0	114.0
1856.0	57.0	116.0
1888.0	45.0	354.0
1920.0	31.0	120.0
1952.0	59.0	610.0
1984.0	185.0	124.0
2016.0	113.0	420.0
2048.0	31.0	64.0
2112.0	17.0	66.0
2176.0	171.0	136.0
2240.0	209.0	420.0
2304.0	253.0	216.0
2368.0	367.0	444.0
2432.0	265.0	456.0
2496.0	181.0	468.0
2560.0	39.0	80.0
2624.0	27.0	164.0
2688.0	127.0	504.0
2752.0	143.0	172.0
2816.0	43.0	88.0
2880.0	29.0	300.0
2944.0	45.0	92.0
3008.0	157.0	188.0
3072.0	47.0	96.0
3136.0	13.0	28.0
3200.0	111.0	240.0
3264.0	443.0	204.0
3328.0	51.0	104.0
3392.0	51.0	212.0
3456.0	451.0	192.0
3520.0	257.0	220.0
3584.0	57.0	336.0
3648.0	313.0	228.0
3712.0	271.0	232.0
3776.0	179.0	236.0
3840.0	331.0	120.0
3904.0	363.0	244.0
3968.0	375.0	248.0
4032.0	127.0	168.0
4096.0	31.0	64.0
4160.0	33.0	130.0
4224.0	43.0	264.0
4288.0	33.0	134.0
4352.0	477.0	408.0
4416.0	35.0	138.0
4480.0	233.0	280.0
4544.0	357.0	142.0
4608.0	337.0	480.0
4672.0	37.0	146.0
4736.0	71.0	444.0
4800.0	71.0	120.0
4864.0	37.0	152.0
4928.0	39.0	462.0
4992.0	127.0	234.0
5056.0	39.0	158.0
5120.0	39.0	80.0
5184.0	31.0	96.0
5248.0	113.0	902.0
5312.0	41.0	166.0
5376.0	251.0	336.0
5440.0	43.0	170.0
5504.0	21.0	86.0
5568.0	43.0	174.0
5632.0	45.0	176.0
5696.0	45.0	178.0
5760.0	161.0	120.0
5824.0	89.0	182.0
5888.0	323.0	184.0
5952.0	47.0	186.0
6016.0	23.0	94.0
6080.0	47.0	190.0
6144.0	263.0	480.0
